09:57:35.635694989: Warning Shell history had been deleted or renamed (user=root user_loginuid=-1 type=openat command=bash fd.name=/root/.bash_history name=/root/.bash_history path=<NA> oldpath=<NA> suspicious_johnson (id=a3cce783e592))
09:57:38.512822151: Error File below / or /root opened for writing (user=root user_loginuid=-1 command=falco --pidfile=/var/run/falco.pid parent=systemd file=/events.txt program=falco container_id=host image=<NA>)
09:57:38.543729471: Error File below / or /root opened for writing (user=root user_loginuid=-1 command=falco --pidfile=/var/run/falco.pid parent=systemd file=/events.txt program=falco container_id=host image=<NA>)
09:57:38.574494574: Error File below / or /root opened for writing (user=root user_loginuid=-1 command=falco --pidfile=/var/run/falco.pid parent=systemd file=/events.txt program=falco container_id=host image=<NA>)
09:57:38.604922876: Error File below / or /root opened for writing (user=root user_loginuid=-1 command=falco --pidfile=/var/run/falco.pid parent=systemd file=/events.txt program=falco container_id=host image=<NA>)
09:57:38.635346416: Error File below / or /root opened for writing (user=root user_loginuid=-1 command=falco --pidfile=/var/run/falco.pid parent=systemd file=/events.txt program=falco container_id=host image=<NA>)
09:57:38.666470723: Error File below / or /root opened for writing (user=root user_loginuid=-1 command=falco --pidfile=/var/run/falco.pid parent=systemd file=/events.txt program=falco container_id=host image=<NA>)
09:57:38.697360708: Error File below / or /root opened for writing (user=root user_loginuid=-1 command=falco --pidfile=/var/run/falco.pid parent=systemd file=/events.txt program=falco container_id=host image=<NA>)
09:57:38.728561280: Error File below / or /root opened for writing (user=root user_loginuid=-1 command=falco --pidfile=/var/run/falco.pid parent=systemd file=/events.txt program=falco container_id=host image=<NA>)
09:57:38.759360853: Error File below / or /root opened for writing (user=root user_loginuid=-1 command=falco --pidfile=/var/run/falco.pid parent=systemd file=/events.txt program=falco container_id=host image=<NA>)
09:57:38.790015630: Error File below / or /root opened for writing (user=root user_loginuid=-1 command=falco --pidfile=/var/run/falco.pid parent=systemd file=/events.txt program=falco container_id=host image=<NA>)
09:57:38.821363071: Error File below / or /root opened for writing (user=root user_loginuid=-1 command=falco --pidfile=/var/run/falco.pid parent=systemd file=/events.txt program=falco container_id=host image=<NA>)
09:57:38.852585646: Error File below / or /root opened for writing (user=root user_loginuid=-1 command=falco --pidfile=/var/run/falco.pid parent=systemd file=/events.txt program=falco container_id=host image=<NA>)
09:57:38.883394727: Error File below / or /root opened for writing (user=root user_loginuid=-1 command=falco --pidfile=/var/run/falco.pid parent=systemd file=/events.txt program=falco container_id=host image=<NA>)
09:57:38.914004048: Error File below / or /root opened for writing (user=root user_loginuid=-1 command=falco --pidfile=/var/run/falco.pid parent=systemd file=/events.txt program=falco container_id=host image=<NA>)
09:57:38.944608705: Error File below / or /root opened for writing (user=root user_loginuid=-1 command=falco --pidfile=/var/run/falco.pid parent=systemd file=/events.txt program=falco container_id=host image=<NA>)
09:57:38.975082238: Error File below / or /root opened for writing (user=root user_loginuid=-1 command=falco --pidfile=/var/run/falco.pid parent=systemd file=/events.txt program=falco container_id=host image=<NA>)
09:57:39.005498389: Error File below / or /root opened for writing (user=root user_loginuid=-1 command=falco --pidfile=/var/run/falco.pid parent=systemd file=/events.txt program=falco container_id=host image=<NA>)
09:57:39.035910487: Error File below / or /root opened for writing (user=root user_loginuid=-1 command=falco --pidfile=/var/run/falco.pid parent=systemd file=/events.txt program=falco container_id=host image=<NA>)
09:57:39.066460062: Error File below / or /root opened for writing (user=root user_loginuid=-1 command=falco --pidfile=/var/run/falco.pid parent=systemd file=/events.txt program=falco container_id=host image=<NA>)
09:57:39.096795800: Error File below / or /root opened for writing (user=root user_loginuid=-1 command=falco --pidfile=/var/run/falco.pid parent=systemd file=/events.txt program=falco container_id=host image=<NA>)
09:57:39.127274672: Error File below / or /root opened for writing (user=root user_loginuid=-1 command=falco --pidfile=/var/run/falco.pid parent=systemd file=/events.txt program=falco container_id=host image=<NA>)
09:57:39.157954362: Error File below / or /root opened for writing (user=root user_loginuid=-1 command=falco --pidfile=/var/run/falco.pid parent=systemd file=/events.txt program=falco container_id=host image=<NA>)
09:57:39.188787343: Error File below / or /root opened for writing (user=root user_loginuid=-1 command=falco --pidfile=/var/run/falco.pid parent=systemd file=/events.txt program=falco container_id=host image=<NA>)
09:57:39.219264016: Error File below / or /root opened for writing (user=root user_loginuid=-1 command=falco --pidfile=/var/run/falco.pid parent=systemd file=/events.txt program=falco container_id=host image=<NA>)
09:57:39.249688169: Error File below / or /root opened for writing (user=root user_loginuid=-1 command=falco --pidfile=/var/run/falco.pid parent=systemd file=/events.txt program=falco container_id=host image=<NA>)
09:57:39.280542027: Error File below / or /root opened for writing (user=root user_loginuid=-1 command=falco --pidfile=/var/run/falco.pid parent=systemd file=/events.txt program=falco container_id=host image=<NA>)
09:57:39.311294368: Error File below / or /root opened for writing (user=root user_loginuid=-1 command=falco --pidfile=/var/run/falco.pid parent=systemd file=/events.txt program=falco container_id=host image=<NA>)
09:57:39.341653495: Error File below / or /root opened for writing (user=root user_loginuid=-1 command=falco --pidfile=/var/run/falco.pid parent=systemd file=/events.txt program=falco container_id=host image=<NA>)
09:57:39.372578169: Error File below / or /root opened for writing (user=root user_loginuid=-1 command=falco --pidfile=/var/run/falco.pid parent=systemd file=/events.txt program=falco container_id=host image=<NA>)
09:57:39.403429672: Error File below / or /root opened for writing (user=root user_loginuid=-1 command=falco --pidfile=/var/run/falco.pid parent=systemd file=/events.txt program=falco container_id=host image=<NA>)
09:57:39.433845963: Error File below / or /root opened for writing (user=root user_loginuid=-1 command=falco --pidfile=/var/run/falco.pid parent=systemd file=/events.txt program=falco container_id=host image=<NA>)
09:57:39.464252907: Error File below / or /root opened for writing (user=root user_loginuid=-1 command=falco --pidfile=/var/run/falco.pid parent=systemd file=/events.txt program=falco container_id=host image=<NA>)
09:57:39.495056826: Error File below / or /root opened for writing (user=root user_loginuid=-1 command=falco --pidfile=/var/run/falco.pid parent=systemd file=/events.txt program=falco container_id=host image=<NA>)
09:57:39.525701149: Error File below / or /root opened for writing (user=root user_loginuid=-1 command=falco --pidfile=/var/run/falco.pid parent=systemd file=/events.txt program=falco container_id=host image=<NA>)
09:57:39.556261015: Error File below / or /root opened for writing (user=root user_loginuid=-1 command=falco --pidfile=/var/run/falco.pid parent=systemd file=/events.txt program=falco container_id=host image=<NA>)
09:57:39.586853046: Error File below / or /root opened for writing (user=root user_loginuid=-1 command=falco --pidfile=/var/run/falco.pid parent=systemd file=/events.txt program=falco container_id=host image=<NA>)
09:57:39.617348118: Error File below / or /root opened for writing (user=root user_loginuid=-1 command=falco --pidfile=/var/run/falco.pid parent=systemd file=/events.txt program=falco container_id=host image=<NA>)
09:57:39.647831675: Error File below / or /root opened for writing (user=root user_loginuid=-1 command=falco --pidfile=/var/run/falco.pid parent=systemd file=/events.txt program=falco container_id=host image=<NA>)
09:57:39.678234719: Error File below / or /root opened for writing (user=root user_loginuid=-1 command=falco --pidfile=/var/run/falco.pid parent=systemd file=/events.txt program=falco container_id=host image=<NA>)
09:57:39.708897496: Error File below / or /root opened for writing (user=root user_loginuid=-1 command=falco --pidfile=/var/run/falco.pid parent=systemd file=/events.txt program=falco container_id=host image=<NA>)
09:57:39.739284991: Error File below / or /root opened for writing (user=root user_loginuid=-1 command=falco --pidfile=/var/run/falco.pid parent=systemd file=/events.txt program=falco container_id=host image=<NA>)
09:57:39.770418440: Error File below / or /root opened for writing (user=root user_loginuid=-1 command=falco --pidfile=/var/run/falco.pid parent=systemd file=/events.txt program=falco container_id=host image=<NA>)
09:57:39.801218125: Error File below / or /root opened for writing (user=root user_loginuid=-1 command=falco --pidfile=/var/run/falco.pid parent=systemd file=/events.txt program=falco container_id=host image=<NA>)
09:57:39.832096545: Error File below / or /root opened for writing (user=root user_loginuid=-1 command=falco --pidfile=/var/run/falco.pid parent=systemd file=/events.txt program=falco container_id=host image=<NA>)
09:57:39.862471464: Error File below / or /root opened for writing (user=root user_loginuid=-1 command=falco --pidfile=/var/run/falco.pid parent=systemd file=/events.txt program=falco container_id=host image=<NA>)
09:57:39.893052792: Error File below / or /root opened for writing (user=root user_loginuid=-1 command=falco --pidfile=/var/run/falco.pid parent=systemd file=/events.txt program=falco container_id=host image=<NA>)
09:57:39.924086604: Error File below / or /root opened for writing (user=root user_loginuid=-1 command=falco --pidfile=/var/run/falco.pid parent=systemd file=/events.txt program=falco container_id=host image=<NA>)
09:57:39.955064387: Error File below / or /root opened for writing (user=root user_loginuid=-1 command=falco --pidfile=/var/run/falco.pid parent=systemd file=/events.txt program=falco container_id=host image=<NA>)
09:57:39.985505813: Error File below / or /root opened for writing (user=root user_loginuid=-1 command=falco --pidfile=/var/run/falco.pid parent=systemd file=/events.txt program=falco container_id=host image=<NA>)
09:57:40.016374136: Error File below / or /root opened for writing (user=root user_loginuid=-1 command=falco --pidfile=/var/run/falco.pid parent=systemd file=/events.txt program=falco container_id=host image=<NA>)
